title,storyline,description,directors,writers,cast,tagline,genres
Phat Beach,A hefty homeboy borrows his dad's Mercedes and goes to the beach with his friends for wild sun &amp; fun.,A hefty homeboy borrows his dad's Mercedes and goes to the beach with his friends for wild sun &amp; fun.,Doug Ellin,"Cleveland O&apos;Neal III, Brian E. O&apos;Neal, Doug Ellin","['Jermaine Hopkins (Unknown Role)', 'Brian Hooks (Unknown Role)', 'Claudia Kaleem (Unknown Role)', 'Candice Merideth (Unknown Role)', 'Alma Collins (Unknown Role)']",Tagline not available,Comedy
Foxfire,"Legs Sadovsky gets four other high school girls to think for themselves and react to a teacher's sexual harassment, which gets them suspended. They bond, and rebel, at an abandoned house.","Legs Sadovsky gets four other high school girls to think for themselves and react to a teacher's sexual harassment, which gets them suspended. They bond, and rebel, at an abandoned house.",Annette Haywood-Carter,"Joyce Carol Oates, Elizabeth White","['Hedy Burress (Unknown Role)', 'Angelina Jolie (Unknown Role)', 'Jenny Lewis (Unknown Role)', 'Jenny Shimizu (Unknown Role)', 'Sarah Rosenberg (Unknown Role)']",Tagline not available,Drama
Chain Reaction,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.,Andrew Davis,"Arne Schmidt, Rick Seaman, Josh Friedman","['Keanu Reeves (Unknown Role)', 'Morgan Freeman (Unknown Role)', 'Rachel Weisz (Unknown Role)', 'Fred Ward (Unknown Role)', 'Kevin Dunn (Unknown Role)']",Tagline not available,Action|Adventure|Thriller
Matilda,A girl gifted with a keen intellect and psychic powers uses both to get even with her callous family and free her kindly schoolteacher from the tyrannical grip of a sadistic headmistress.,A girl gifted with a keen intellect and psychic powers uses both to get even with her callous family and free her kindly schoolteacher from the tyrannical grip of a sadistic headmistress.,Danny DeVito,"Roald Dahl, Nicholas Kazan, Robin Swicord","['Danny DeVito (Unknown Role)', 'Rhea Perlman (Unknown Role)', 'Mara Wilson (Unknown Role)', 'Embeth Davidtz (Unknown Role)', 'Pam Ferris (Unknown Role)']",Tagline not available,Children's|Comedy
Emma.,"In 1800s England, a well-meaning but selfish young woman meddles in her friends' love lives.","In 1800s England, a well-meaning but selfish young woman meddles in her friends' love lives.",Autumn de Wilde,"Eleanor Catton, Jane Austen","['Anya Taylor-Joy (Unknown Role)', 'Johnny Flynn (Unknown Role)', 'Mia Goth (Unknown Role)', ""Josh O'Connor (Unknown Role)"", 'Callum Turner (Unknown Role)']",Tagline not available,Comedy|Drama|Romance
The Crow: City of Angels,The spirit of the Crow resurrects a car mechanic seeking revenge for the murder of his son.,The spirit of the Crow resurrects a car mechanic seeking revenge for the murder of his son.,Tim Pope,"James O&apos;Barr, David S. Goyer","['Vincent Perez (Unknown Role)', 'Mia Kirshner (Unknown Role)', 'Richard Brooks (Unknown Role)', 'Iggy Pop (Unknown Role)', 'Thomas Jane (Unknown Role)']",Tagline not available,Action|Thriller
House Arrest,"In a wild reality show set in a luxurious villa, fierce women and dominant men navigate ruthless challenges, betrayal, and fragile alliances-where survival depends on loyalty, strategy, and fierce protection.","In a wild reality show set in a luxurious villa, fierce women and dominant men navigate ruthless challenges, betrayal, and fragile alliances-where survival depends on loyalty, strategy, and fierce protection.",Director not available,Writer not available,"['Muskaan Agrawal (Unknown Role)', 'Abha Paul (Unknown Role)', ""Jonita D'Cruz (Unknown Role)"", 'Ayushi Bowmick (Unknown Role)', 'Humera Shaikh (Unknown Role)']",Tagline not available,Comedy
Eyes Without A Face,,,Donald Lancaster,Writer not available,"['Allen Kepler (Unknown Role)', 'Donald Lancaster (Unknown Role)', 'Bryan Tull (Unknown Role)']",Tagline not available,Horror
Tales from the Crypt Presents: Bordello of Blood (1996),,,Director not available,Writer not available,[],Tagline not available,Horror
Lotto Land,"This film tells two interwoven stories of two single-parent families in a poor, racially-mixed neighborhood in Brooklyn. The first story is about a young black man (with aspirations of getting away from his friends who are involve...","This film tells two interwoven stories of two single-parent families in a poor, racially-mixed neighborhood in Brooklyn. The first story is about a young black man (with aspirations of getting away from his friends who are involve...",John Rubino,John Rubino,"['Lawrence Gilliard Jr. (Unknown Role)', 'Wendell Holmes (Unknown Role)', 'Barbara Gonzalez (Unknown Role)', 'Suzanne Costollos (Unknown Role)', 'Jamie Tirelli (Unknown Role)']",Tagline not available,Drama
The Wonderful Story of Henry Sugar,"Chronicles a variety of stories, but the main one follows Henry Sugar, who is able to see through objects and predict the future with the help of a book he stole.","Chronicles a variety of stories, but the main one follows Henry Sugar, who is able to see through objects and predict the future with the help of a book he stole.",Wes Anderson,"Roald Dahl, Wes Anderson","['Ralph Fiennes (Unknown Role)', 'Benedict Cumberbatch (Unknown Role)', 'Dev Patel (Unknown Role)', 'Ben Kingsley (Unknown Role)', 'Richard Ayoade (Unknown Role)']",Tagline not available,Drama
Tian guo ni zi,Guan Jian wants to report the murder of his father who died 10 years ago. The alleged murderer whom Guan Jian accuses of the crime is his own mother.,Guan Jian wants to report the murder of his father who died 10 years ago. The alleged murderer whom Guan Jian accuses of the crime is his own mother.,Ho Yim,"Hing-Dong Wong, Ho Yim","['Siqin Gaowa (Unknown Role)', 'Chung-Hua Tou (Unknown Role)', 'Jingwu Ma (Unknown Role)', 'Zi Wei (Unknown Role)', 'Shu Zhong (Unknown Role)']",Tagline not available,Drama
Flirt,"Three short films about lovers' ultimatums are set in New York, Berlin and Tokyo.","Three short films about lovers' ultimatums are set in New York, Berlin and Tokyo.",Hal Hartley,Hal Hartley,"['Paul Austin (Unknown Role)', 'Robert John Burke (Unknown Role)', 'Martin Donovan (Unknown Role)', 'Erica Gimpel (Unknown Role)', 'Michael Imperioli (Unknown Role)']",Tagline not available,Drama
The Big Squeeze,"Benny, a lonely drifter, is thrown off a train after cheating at cards, and into the life of Tanya, a lovely bartender. Tanya has been supporting her husband, a former ballplayer, since his accident, waiting for an insurance settl...","Benny, a lonely drifter, is thrown off a train after cheating at cards, and into the life of Tanya, a lovely bartender. Tanya has been supporting her husband, a former ballplayer, since his accident, waiting for an insurance settl...",Marcus DeLeon,Marcus DeLeon,"['Lara Flynn Boyle (Unknown Role)', 'Danny Nucci (Unknown Role)', 'Peter Dobson (Unknown Role)', 'Luca Bercovici (Unknown Role)', 'Michael Chieffo (Unknown Role)']",Tagline not available,Comedy|Drama
The Spitfire Grill,A young woman just out of prison finds spiritual redemption working at a cafe in Maine.,A young woman just out of prison finds spiritual redemption working at a cafe in Maine.,Lee David Zlotoff,Lee David Zlotoff,"['Alison Elliott (Unknown Role)', 'Ellen Burstyn (Unknown Role)', 'Marcia Gay Harden (Unknown Role)', 'Will Patton (Unknown Role)', 'Kieran Mulroney (Unknown Role)']",Tagline not available,Drama
Escape from L.A.,"Snake Plissken is once again called in by the United States government to do a dirty job. This time to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are exiled.","Snake Plissken is once again called in by the United States government to do a dirty job. This time to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are exiled.",John Carpenter,"John Carpenter, Nick Castle, Debra Hill","['Kurt Russell (Unknown Role)', 'Steve Buscemi (Unknown Role)', 'Stacy Keach (Unknown Role)', 'A.J. Langer (Unknown Role)', 'Georges Corraface (Unknown Role)']",Tagline not available,Action|Adventure|Sci-Fi|Thriller
Xích lô,"When a poor bicycle-taxi driver has his cyclo stolen, he is forced into a life of crime. Meanwhile, his sister becomes a prostitute.","When a poor bicycle-taxi driver has his cyclo stolen, he is forced into a life of crime. Meanwhile, his sister becomes a prostitute.",Anh Hung Tran,Anh Hung Tran,"['Le Van Loc (Unknown Role)', 'Tony Leung Chiu-wai (Unknown Role)', 'Nu Yên-Khê Tran (Unknown Role)', 'Quynh Nhu (Unknown Role)', 'Hoang Phuc Nguyen (Unknown Role)']",Tagline not available,Crime|Drama
Basquiat,"The brief life of Jean Michel Basquiat, a world renowned New York street artist struggling with fame, drugs and his identity.","The brief life of Jean Michel Basquiat, a world renowned New York street artist struggling with fame, drugs and his identity.",Julian Schnabel,"Lech Majewski, John F. Bowe, Julian Schnabel","['Jeffrey Wright (Unknown Role)', 'Michael Wincott (Unknown Role)', 'Benicio Del Toro (Unknown Role)', 'Claire Forlani (Unknown Role)', 'David Bowie (Unknown Role)']",Tagline not available,Drama
Tin Cup,A washed-up golf pro working at a driving range tries to qualify for the U.S. Open in order to win the heart of his successful rival's girlfriend.,A washed-up golf pro working at a driving range tries to qualify for the U.S. Open in order to win the heart of his successful rival's girlfriend.,Ron Shelton,"John Norville, Ron Shelton","['Kevin Costner (Unknown Role)', 'Rene Russo (Unknown Role)', 'Don Johnson (Unknown Role)', 'Cheech Marin (Unknown Role)', 'Linda Hart (Unknown Role)']",Tagline not available,Comedy|Romance
Frisky Dingo,"A philandering billionaire playboy who moonlights as the superhero, Awesome X, faces against his greatest adversary, Killface, but finds balancing his business and superhero lives difficult.","A philandering billionaire playboy who moonlights as the superhero, Awesome X, faces against his greatest adversary, Killface, but finds balancing his business and superhero lives difficult.",Director not available,"Adam Reed, Matt Thompson","['Adam Reed (Unknown Role)', 'Eric Sims (Unknown Role)', 'Neal Holman (Unknown Role)', 'Stuart Culpepper (Unknown Role)', 'Christian Danley (Unknown Role)']",Tagline not available,Drama
The American President,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but &quot;politics is perception,&quot; and sparks fly anyway.","A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but &quot;politics is perception,&quot; and sparks fly anyway.",Rob Reiner,Aaron Sorkin,"['Michael Douglas (Unknown Role)', 'Annette Bening (Unknown Role)', 'Martin Sheen (Unknown Role)', 'Michael J. Fox (Unknown Role)', 'Anna Deavere Smith (Unknown Role)']",Tagline not available,Comedy|Drama|Romance
La cité des enfants perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","Marc Caro, Jean-Pierre Jeunet","Gilles Adrien, Jean-Pierre Jeunet, Marc Caro","['Ron Perlman (Unknown Role)', 'Daniel Emilfork (Unknown Role)', 'Judith Vittet (Unknown Role)', 'Dominique Pinon (Unknown Role)', 'Jean-Claude Dreyfus (Unknown Role)']",Tagline not available,Adventure|Sci-Fi
"Yao a yao, yao dao wai po qiao",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Yimou Zhang,"Feiyu Bi, Bin Wang, Li Xiao","['Gong Li (Unknown Role)', 'Baotian Li (Unknown Role)', 'Xiaoxiao Wang (Unknown Role)', 'Xuejian Li (Unknown Role)', 'Chun Sun (Unknown Role)']",Tagline not available,Drama
Se7en. Los 7 pecados capitales de provincia,"A spoof of the movie &quot;Se7en&quot;. Lieutenant Zapatero, is on his way to retirement and the inspector Rajoy, who will take his place at the police station, will meet a serial killer whose business cards in each crime coincide with one ...","A spoof of the movie &quot;Se7en&quot;. Lieutenant Zapatero, is on his way to retirement and the inspector Rajoy, who will take his place at the police station, will meet a serial killer whose business cards in each crime coincide with one ...","José Mota, Rodrigo Sopeña","Luis Lázaro, Alberto Papa-Fragomen, Chema Lorite","['José Mota (Unknown Role)', 'Eva Armenteros (Unknown Role)', 'Angy Fernández (Unknown Role)', 'Mónica Carrillo (Unknown Role)', 'Juan Ramón Lucas (Unknown Role)']",Tagline not available,Crime|Thriller
The Usual Suspects,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,Bryan Singer,Christopher McQuarrie,"['Kevin Spacey (Unknown Role)', 'Gabriel Byrne (Unknown Role)', 'Chazz Palminteri (Unknown Role)', 'Stephen Baldwin (Unknown Role)', 'Benicio Del Toro (Unknown Role)']",Tagline not available,Crime|Thriller
The Big Green,"A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.","A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.",Holly Goldberg Sloan,Holly Goldberg Sloan,"['Steve Guttenberg (Unknown Role)', ""Olivia d'Abo (Unknown Role)"", 'Jay O. Sanders (Unknown Role)', 'John Terry (Unknown Role)', 'Chauncey Leopardi (Unknown Role)']",Tagline not available,Children's|Comedy
Ginny &amp; Georgia,"Angsty 15-year-old Ginny Miller often feels more mature than her 30-year-old mother, the irresistible and dynamic Georgia Miller.","Angsty 15-year-old Ginny Miller often feels more mature than her 30-year-old mother, the irresistible and dynamic Georgia Miller.",Director not available,Sarah Lampert,"['Brianne Howey (Unknown Role)', 'Antonia Gentry (Unknown Role)', 'Felix Mallard (Unknown Role)', 'Sara Waisglass (Unknown Role)', 'Katie Douglas (Unknown Role)']",Tagline not available,Drama
The Postman (Il Postino) - Behind the scenes,,,Stefano Veneruso,Writer not available,"['Luis Bacalov (Unknown Role)', 'Philippe Noiret (Unknown Role)', 'Anna Pavignano (Unknown Role)', 'Roberto Perpignani (Unknown Role)', 'Massimo Troisi (Unknown Role)']",Tagline not available,Drama|Romance
House of Mortal Sin,"The story follows a young woman, who seeks out his church. There, she is manipulated into giving confession to Father Xavier Meldrum. Meldrum uses his status and crazed persistence to work his way into Jenny's life by any means ne...","The story follows a young woman, who seeks out his church. There, she is manipulated into giving confession to Father Xavier Meldrum. Meldrum uses his status and crazed persistence to work his way into Jenny's life by any means ne...",Pete Walker,"David McGillivray, Pete Walker","['Anthony Sharp (Unknown Role)', 'Susan Penhaligon (Unknown Role)', 'Stephanie Beacham (Unknown Role)', 'Norman Eshley (Unknown Role)', 'Sheila Keith (Unknown Role)']",Tagline not available,Drama|Mystery
The Indian in the Cupboard,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.","Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.",Frank Oz,"Lynne Reid Banks, Melissa Mathison","['Hal Scardino (Unknown Role)', 'Litefoot (Unknown Role)', 'Lindsay Crouse (Unknown Role)', 'Richard Jenkins (Unknown Role)', 'Rishi Bhat (Unknown Role)']",Tagline not available,Adventure|Children's|Fantasy
Mr. Holland&apos;s Opus,A frustrated composer finds fulfillment as a high school music teacher.,A frustrated composer finds fulfillment as a high school music teacher.,Stephen Herek,Patrick Sheane Duncan,"['Richard Dreyfuss (Unknown Role)', 'Glenne Headly (Unknown Role)', 'Jay Thomas (Unknown Role)', 'Olympia Dukakis (Unknown Role)', 'William H. Macy (Unknown Role)']",Tagline not available,Drama
Don&apos;t Be a Menace to South Central While Drinking Your Juice in the Hood,"A parody of several U.S. films about being in the 'Hood', for instance Boyz N the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).","A parody of several U.S. films about being in the 'Hood', for instance Boyz N the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).",Paris Barclay,"Shawn Wayans, Marlon Wayans, Phil Beauman","['Shawn Wayans (Unknown Role)', 'Marlon Wayans (Unknown Role)', 'Keenen Ivory Wayans (Unknown Role)', 'Tracey Cherelle Jones (Unknown Role)', 'Chris Spencer (Unknown Role)']",Tagline not available,Comedy
Two If by Sea,"A couple steals a Matisse painting on contract and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.","A couple steals a Matisse painting on contract and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.",Bill Bennett,"Denis Leary, Mike Armstrong, Ann Leary","['Sandra Bullock (Unknown Role)', 'Denis Leary (Unknown Role)', 'Stephen Dillane (Unknown Role)', 'Yaphet Kotto (Unknown Role)', 'Mike Starr (Unknown Role)']",Tagline not available,Comedy|Romance
Kicking &amp; Screaming,"Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon realizes that he's also taking on his father's dysfunctional way of relating.","Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon realizes that he's also taking on his father's dysfunctional way of relating.",Jesse Dylan,"Leo Benvenuti, Steve Rudnick","['Will Ferrell (Unknown Role)', 'Robert Duvall (Unknown Role)', 'Josh Hutcherson (Unknown Role)', 'Mike Ditka (Unknown Role)', 'Kate Walsh (Unknown Role)']",Tagline not available,Comedy|Drama
Les Misérables,"In 19th-century France, Jean Valjean, who, for decades, has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.","In 19th-century France, Jean Valjean, who, for decades, has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",Tom Hooper,"William Nicholson, Alain Boublil, Claude-Michel Schönberg","['Hugh Jackman (Unknown Role)', 'Russell Crowe (Unknown Role)', 'Anne Hathaway (Unknown Role)', 'Amanda Seyfried (Unknown Role)', 'Sacha Baron Cohen (Unknown Role)']",Tagline not available,Drama
The Crossing Guard,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,Sean Penn,Sean Penn,"['Jack Nicholson (Unknown Role)', 'David Morse (Unknown Role)', 'Anjelica Huston (Unknown Role)', 'Robin Wright (Unknown Role)', 'Piper Laurie (Unknown Role)']",Tagline not available,Drama
The Juror,A juror in a Mafia trial is forced by a compulsive mob enforcer to convince the other jurors to vote not guilty.,A juror in a Mafia trial is forced by a compulsive mob enforcer to convince the other jurors to vote not guilty.,Brian Gibson,"George Dawes Green, Ted Tally","['Demi Moore (Unknown Role)', 'Alec Baldwin (Unknown Role)', 'Joseph Gordon-Levitt (Unknown Role)', 'James Gandolfini (Unknown Role)', 'Lindsay Crouse (Unknown Role)']",Tagline not available,Drama|Thriller
Badkonake sefid,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,Jafar Panahi,"Abbas Kiarostami, Jafar Panahi, Parviz Shahbazi","['Aida Mohammadkhani (Unknown Role)', 'Mohsen Kafili (Unknown Role)', 'Fereshteh Sadre Orafaiy (Unknown Role)', 'Anna Borkowska (Unknown Role)', 'Mohammed Bakhtiar (Unknown Role)']",Tagline not available,Drama
Things to Do in Denver When You&apos;re Dead,Five different criminals face imminent death after botching a job quite badly.,Five different criminals face imminent death after botching a job quite badly.,Gary Fleder,Scott Rosenberg,"['Andy Garcia (Unknown Role)', 'Christopher Walken (Unknown Role)', 'Christopher Lloyd (Unknown Role)', 'William Forsythe (Unknown Role)', 'Bill Nunn (Unknown Role)']",Tagline not available,Crime|Drama|Romance
Antonia,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.","A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",Marleen Gorris,Marleen Gorris,"['Willeke van Ammelrooy (Unknown Role)', 'Jan Decleir (Unknown Role)', 'Veerle van Overloop (Unknown Role)', 'Els Dottermans (Unknown Role)', 'Dora van der Groen (Unknown Role)']",Tagline not available,Drama
The Journey of August King,"August is a widower and is on his way home after selling his homemade products and buying the supplies and goods he needs for the coming year. On his journey, he meets a runaway slave girl.","August is a widower and is on his way home after selling his homemade products and buying the supplies and goods he needs for the coming year. On his journey, he meets a runaway slave girl.",John Duigan,John Ehle,"['Jason Patric (Unknown Role)', 'Thandiwe Newton (Unknown Role)', 'Larry Drake (Unknown Role)', 'Sam Waterston (Unknown Role)', 'Sarah-Jane Wylde (Unknown Role)']",Tagline not available,Drama
The Hate U Give,"Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.","Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.",George Tillman Jr.,"Audrey Wells, Angie Thomas","['Amandla Stenberg (Unknown Role)', 'Regina Hall (Unknown Role)', 'Russell Hornsby (Unknown Role)', 'Anthony Mackie (Unknown Role)', 'Issa Rae (Unknown Role)']",Tagline not available,Drama
Bay Yanlis,"Wealthy restaurant owner Özgür prefers casual dating to serious relationships. Ezgi wants to get married, but she only ends up being used by men. Özgür agrees to give her dating tips so her next relationship with Serdar would work...","Wealthy restaurant owner Özgür prefers casual dating to serious relationships. Ezgi wants to get married, but she only ends up being used by men. Özgür agrees to give her dating tips so her next relationship with Serdar would work...",Director not available,Writer not available,"['Can Yaman (Unknown Role)', 'Özge Gürel (Unknown Role)', 'Gürgen Öz (Unknown Role)', 'Fatma Toptas (Unknown Role)', 'Sarp Can Köroglu (Unknown Role)']",Tagline not available,Comedy
The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,Clint Eastwood,"Richard LaGravenese, Robert James Waller","['Clint Eastwood (Unknown Role)', 'Meryl Streep (Unknown Role)', 'Annie Corley (Unknown Role)', 'Victor Slezak (Unknown Role)', 'Jim Haynie (Unknown Role)']",Tagline not available,Drama|Romance
Keiner liebt mich,"On the brink of her 30th birthday, Fanny feels the door to marital happiness closing on her. She is obsessed with death and even visits evening classes on dying, so it seems fitting that she encounters a skeleton in the malfunctio...","On the brink of her 30th birthday, Fanny feels the door to marital happiness closing on her. She is obsessed with death and even visits evening classes on dying, so it seems fitting that she encounters a skeleton in the malfunctio...",Doris Dörrie,Doris Dörrie,"['Maria Schrader (Unknown Role)', 'Pierre Sanoussi-Bliss (Unknown Role)', 'Michael von Au (Unknown Role)', 'Elisabeth Trissenaar (Unknown Role)', 'Ingo Naujoks (Unknown Role)']",Tagline not available,Comedy|Drama
Hung fan kui,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,Stanley Tong,"Edward Tang, Fibe Ma","['Jackie Chan (Unknown Role)', 'Anita Mui (Unknown Role)', 'Françoise Yip (Unknown Role)', 'Bill Tung (Unknown Role)', 'Marc Akerstream (Unknown Role)']",Tagline not available,Action|Adventure|Crime
Margaret&apos;s Museum,"Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them.","Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them.",Mort Ransen,"Sheldon Currie, Gerald Wexler, Mort Ransen","['Helena Bonham Carter (Unknown Role)', 'Kate Nelligan (Unknown Role)', 'Clive Russell (Unknown Role)', 'Craig Olejnik (Unknown Role)', 'Kenneth Welsh (Unknown Role)']",Tagline not available,Drama
Le bonheur est dans le pré,"Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend Gerard. Then a TV show called &quot;where are y...","Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend Gerard. Then a TV show called &quot;where are y...",Étienne Chatiliez,Florence Quentin,"['Michel Serrault (Unknown Role)', 'Eddy Mitchell (Unknown Role)', 'Sabine Azéma (Unknown Role)', 'Carmen Maura (Unknown Role)', 'François Morel (Unknown Role)']",Tagline not available,Comedy
The Young Poisoner&apos;s Handbook,"This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes interested in science, especially chemistry, and b...","This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes interested in science, especially chemistry, and b...",Benjamin Ross,"Jeff Rawle, Benjamin Ross","[""Hugh O'Conor (Unknown Role)"", 'Antony Sher (Unknown Role)', 'Tobias Arnold (Unknown Role)', 'Ruth Sheen (Unknown Role)', 'Roger Lloyd Pack (Unknown Role)']",Tagline not available,Crime
Steal Big Steal Little,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate ...","Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate ...",Andrew Davis,"Andrew Davis, Teresa Tucker-Davies, Frank Ray Perilli","['Andy Garcia (Unknown Role)', 'Alan Arkin (Unknown Role)', 'Rachel Ticotin (Unknown Role)', 'Joe Pantoliano (Unknown Role)', 'Holland Taylor (Unknown Role)']",Tagline not available,Comedy
The Boys of St. Vincent,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.,John N. Smith,"Des Walsh, John N. Smith, Sam Grana","['Henry Czerny (Unknown Role)', 'Johnny Morina (Unknown Role)', 'Brian Dooley (Unknown Role)', 'Philip Dinn (Unknown Role)', 'Brian Dodd (Unknown Role)']",Tagline not available,Drama
Chung Hing sam lam,"Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.","Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",Wong Kar-Wai,Wong Kar-Wai,"['Brigitte Lin (Unknown Role)', 'Takeshi Kaneshiro (Unknown Role)', 'Tony Leung Chiu-wai (Unknown Role)', 'Faye Wong (Unknown Role)', 'Valerie Chow (Unknown Role)']",Tagline not available,Drama|Mystery|Romance
Flirting with Disaster,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents.","A young man, his wife, and his incompetent case worker travel across country to find his birth parents.",David O. Russell,David O. Russell,"['Ben Stiller (Unknown Role)', 'Patricia Arquette (Unknown Role)', 'Téa Leoni (Unknown Role)', 'Mary Tyler Moore (Unknown Role)', 'George Segal (Unknown Role)']",Tagline not available,Comedy
Die unendliche Geschichte III: Rettung aus Phantasien,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,Peter MacDonald,"Jeff Lieberman, Karin Howard, Michael Ende","['Jason James Richter (Unknown Role)', 'Melody Kay (Unknown Role)', 'Jack Black (Unknown Role)', 'Carole Finn (Unknown Role)', 'Ryan Bollman (Unknown Role)']",Tagline not available,Adventure|Children's|Fantasy
Jupiter&apos;s Wife,"Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know Maggie over the next couple of years, and ...","Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know Maggie over the next couple of years, and ...",Michel Negroponte,"Gabriel Morgan, Michel Negroponte","['Maggie Cogan (Unknown Role)', 'Katina Commings (Unknown Role)']",Tagline not available,Documentary
